profile_id,target_count_log2,regime,term,formula_source,formula,inputs,classical_bits,quantum_bits,proof_status,binding_classical,binding_quantum,applies,omissions
counterfactual-v02-style-q48-width190-batch210,0,udr,fri-commit-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:101-143,b = log2(|F|) - log2((folding-1)*(n+1)) + grinding,"{""configured_grinding_bits"":16,""field_bits"":120,""folding_factor"":2,""n"":8192,""pinned_security_num_layers_guard"":13}",122.999823901,114.999823901,proven,False,False,True,
counterfactual-v02-style-q48-width190-batch210,0,udr,batched-opening-proximity,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/assumption.rs:126-245; security/src/stark.rs:104-145,b = log2(|F|) - (log_degree + log_inv_rate + log2(num_functions-1)),"{""field_bits"":120,""log_degree"":9,""log_inv_rate"":4,""num_batched_functions"":210}",99.292640868,99.292640868,proven,False,False,True,
counterfactual-v02-style-q48-width190-batch210,0,udr,fri-final-phase,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",deterministic final-polynomial degree/length check; no probabilistic error term,"{""declared_bound"":1,""fri_log_final_poly_len"":0}",,,deterministic-check,False,False,False,
counterfactual-v02-style-q48-width190-batch210,0,udr,commit-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,commit-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI commit challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-commit-phase; informational row, not an independent binding term."
counterfactual-v02-style-q48-width190-batch210,0,udr,query-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,query-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI query challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-query-phase; informational row, not an independent binding term."
counterfactual-v02-style-q48-width190-batch210,0,udr,challenge-field-ceiling,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",b <= conservative challenge-field budget,"{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,assumption,False,False,True,
counterfactual-v02-style-q48-width190-batch210,0,udr,mmcs-binding,Manifest assumption; not derived by p3-security,b <= stated MMCS binding security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,assumption-unreviewed,False,False,True,This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
counterfactual-v02-style-q48-width190-batch210,0,udr,hiding-degree-padding,"Plonky3 pinned uni-stark/src/security.rs:249-251,326-330",proof_degree_bits = logical_degree_bits + hiding_degree_padding_bits,"{""hiding_degree_padding_bits"":1,""is_zk"":true,""logical_degree_bits"":8,""logical_trace_height"":256,""proof_degree_bits"":9}",,,accounting-input,False,False,False,
counterfactual-v02-style-q48-width190-batch210,0,ldr,air-random-linear-combination,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,b = log2(|F|) - log2(L+) - log2(num_constraints),"{""field_bits"":120.0,""list_size"":22.0,""num_constraints"":1186}",105.328680087,105.328680087,conditional-theorem-johnson-correlated-agreement,False,False,True,"Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
counterfactual-v02-style-q48-width190-batch210,0,ldr,deep-ali,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)),"{""field_bits"":120.0,""k"":512,""list_size"":22.0,""max_combo"":2,""max_constraint_degree"":7}",103.538456605,103.538456605,conditional-theorem-johnson-correlated-agreement,False,False,True,"Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
counterfactual-v02-style-q48-width190-batch210,0,ldr,fri-query-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:196-202,b = -num_queries*log2(alpha) + grinding,"{""alpha"":0.275,""configured_grinding_bits"":16,""num_queries"":48}",105.39983086,97.39983086,conditional-theorem-johnson-correlated-agreement,False,False,True,"Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
counterfactual-v02-style-q48-width190-batch210,0,ldr,fri-commit-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:145-193; ePrint 2025/2055 Thm. 4.2,"b = min(BCHKS25 linear bound, 2024/1553 n/q bound) + grinding","{""alpha"":0.275,""bchks25_base_bits"":89.287697233,""configured_grinding_bits"":16,""gamma"":0.725,""m"":5,""n"":8192,""n_over_q_base_bits"":100.540392282,""rho"":0.0625}",105.287697233,97.287697233,conditional-theorem-johnson-correlated-agreement,False,False,True,"Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
counterfactual-v02-style-q48-width190-batch210,0,ldr,batched-opening-proximity,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/assumption.rs:126-245; security/src/stark.rs:104-145,b = log2(|F|) - log2(2*(m+1/2)^5*n/(3*rho^(3/2))) - log2(num_functions-1),"{""dominant_term_only"":true,""field_bits"":120,""m"":5,""n_log2"":13,""num_batched_functions"":210,""rho"":0.0625}",81.580445275,81.580445275,conditional-theorem-johnson-correlated-agreement,True,True,True,"Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible."
counterfactual-v02-style-q48-width190-batch210,0,ldr,fri-final-phase,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",deterministic final-polynomial degree/length check; no probabilistic error term,"{""declared_bound"":1,""fri_log_final_poly_len"":0}",,,deterministic-check,False,False,False,
counterfactual-v02-style-q48-width190-batch210,0,ldr,commit-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,commit-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI commit challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-commit-phase; informational row, not an independent binding term."
counterfactual-v02-style-q48-width190-batch210,0,ldr,query-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,query-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI query challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-query-phase; informational row, not an independent binding term."
counterfactual-v02-style-q48-width190-batch210,0,ldr,challenge-field-ceiling,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",b <= conservative challenge-field budget,"{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,assumption,False,False,True,
counterfactual-v02-style-q48-width190-batch210,0,ldr,mmcs-binding,Manifest assumption; not derived by p3-security,b <= stated MMCS binding security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,assumption-unreviewed,False,False,True,This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
counterfactual-v02-style-q48-width190-batch210,0,ldr,hiding-degree-padding,"Plonky3 pinned uni-stark/src/security.rs:249-251,326-330",proof_degree_bits = logical_degree_bits + hiding_degree_padding_bits,"{""hiding_degree_padding_bits"":1,""is_zk"":true,""logical_degree_bits"":8,""logical_trace_height"":256,""proof_degree_bits"":9}",,,accounting-input,False,False,False,
