scorecard_id,candidate_id,candidate_kind,title,manifest_path,reported_status,security_qualified,integration_eligible,hard_gate_status,table_id,logical_rows,padded_rows,base_degree_bits,hiding_degree_bits,trace_width,preprocessed_width,constraint_count,max_degree,quotient_chunks,batched_functions,rotations,active_rows,padding_rows,source_run_id,artifact_path,artifact_sha256,scorecard_path
component:H1,H1,component,Width-16 d=7 feed-forward negative control,research/candidates/H1/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H1/manifest.json,10d08f0747f41249c2752e7110b1e783683c92c0ef1b6282e9253104c3d69bc9,research/report-synthesis/scorecards/component--H1.json
component:H2,H2,component,Width-16 wide-output construction stop,research/candidates/H2/manifest.json,DEFERRED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H2/manifest.json,e8d93d22e96b2e2d0fa2fed27ef241e27035f06f497ed1a7af96ef92dfaf8b4b,research/report-synthesis/scorecards/component--H2.json
component:H3,H3,component,Width-24 d=10 feed-forward node compressor,research/candidates/H3/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H3/manifest.json,58fb7360a960e120e3264a9a5d24c6af47f91820190e5aacd8e7a1114588fbf4,research/report-synthesis/scorecards/component--H3.json
component:H4,H4,component,Width-24 d=11 primitive with documented layout failure,research/candidates/H4/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H4/manifest.json,8cfc6a40a9ce6ed6b4f6ce228dd81bfa1bcb52ea7e35fdbec6ff284d9fac59a1,research/report-synthesis/scorecards/component--H4.json
component:H5,H5,component,Width-32 d=12 unified research hypothesis,research/candidates/H5/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H5/manifest.json,dab56faa9d349682919ed1af5e1fee22a8679f66871139e0e09119dd3df4cf9e,research/report-synthesis/scorecards/component--H5.json
component:H6,H6,component,Width-32 d=14 conservative comparator,research/candidates/H6/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H6/manifest.json,18cbe325d758d5adfec6b44368c7c59194ebb56f4fad140369f871993b330d18,research/report-synthesis/scorecards/component--H6.json
component:H7,H7,component,Published RPO-M31 sponge comparator,research/candidates/H7/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H7/manifest.json,c71b3b8d6a3481318f4231a6690a3892ee4b6205c5e5abd52eff18be6ad31ff6,research/report-synthesis/scorecards/component--H7.json
component:T0,T0,component,field-by-field v0.3 baseline,research/candidates/T0/manifest.json,REFERENCE_CONTROL,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/T0/manifest.json,dcb7f4344cdb46a493296971af8d8e6027f4eb4bc6fc58a766262f8dc4e7caf4,research/report-synthesis/scorecards/component--T0.json
component:T1,T1,component,typed-array absorb,research/candidates/T1/manifest.json,NOT_SELECTED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/T1/manifest.json,943ee95910b0e22e684597133546605597a1033a54be9a0f915a760859f2b6e7,research/report-synthesis/scorecards/component--T1.json
component:T2,T2,component,item-digest plus state,research/candidates/T2/manifest.json,REJECTED_EFFICIENCY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/T2/manifest.json,ff61571f95dd717ce64aaf809ed0f896dafbcad598d57244f3ec565ae5febb7c,research/report-synthesis/scorecards/component--T2.json
component:T3,T3,component,challenge-boundary frame,research/candidates/T3/manifest.json,T3_EXTERNAL_REVIEW_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/T3/manifest.json,827a3b5222f0c354bedd9c4aaf08d0b767c4b46206d45b33d52b4b2330bb6222,research/report-synthesis/scorecards/component--T3.json
component:V1,V1,component,Streaming alpha accumulation,research/candidates/V1/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V1/manifest.json,806bc776b686a3794b6b0a69087d92fc0fe054f42dce299c671422d0382bf819,research/report-synthesis/scorecards/component--V1.json
component:V2,V2,component,Checked inverse witnesses,research/candidates/V2/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V2/manifest.json,8f779c0b37dad25b88f6a77579dee07c0bf3ac5a567bf23a477434521f79676e,research/report-synthesis/scorecards/component--V2.json
component:V3,V3,component,Fused canonical parse and dot product,research/candidates/V3/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V3/manifest.json,1dae12847d89e2e60b00c5163f4b5e6525a49a0a24cd4b89408535405435c8a8,research/report-synthesis/scorecards/component--V3.json
component:V4,V4,component,Calldata-native bounded-memory evaluation,research/candidates/V4/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V4/manifest.json,565a745e1354983726e6b96963163ab5713bf5e3324c890f39f8d3be42d3bdcd,research/report-synthesis/scorecards/component--V4.json
component:V5,V5,component,"Fixed, derived, and checked calldata tables",research/candidates/V5/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V5/manifest.json,adf35eee21d5614dc761e1b669c0eecdae6f4418994a8ac42dda3591af1e5ff3,research/report-synthesis/scorecards/component--V5.json
component:V6,V6,component,Query-point computation strategies,research/candidates/V6/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V6/manifest.json,9b1625221ad35d2c3b628195a210621be18e852e3987971feba6fec583e29e53,research/report-synthesis/scorecards/component--V6.json
component:V7,V7,component,"Exact MMCS frontier, cap, and digest-width variants",research/candidates/V7/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V7/manifest.json,f9fb642d071b5349f1dd6f656d84c506ef004b2e670f62def60d911c9ced200e,research/report-synthesis/scorecards/component--V7.json
component:V8,V8,component,Uniquely decodable canonical proof codecs,research/candidates/V8/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V8/manifest.json,54e3d0e03740460af811dbcf440c5d54dada8a998fe1c48f27b8e36679be523f,research/report-synthesis/scorecards/component--V8.json
component:V9,V9,component,Asymmetric query split and AIR placement,research/candidates/V9/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/V9/manifest.json,a850cc1c81894d72a273c6f8f2e1b8422a05b2bd175a647d06abe58e6e1d3133,research/report-synthesis/scorecards/component--V9.json
component:air-geometry,SP-20,component,AIR geometry and constraint-degree redesign,research/candidates/air-geometry/manifest.json,STOPPED_BY_DEPENDENCY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/air-geometry/manifest.json,a6063a36591c53207d005be5bc4cff0459269464537752e42ae1cc96bf93cc47,research/report-synthesis/scorecards/component--air-geometry.json
component:deposit-batching,deposit-batching,component,Permissionless deposit batching and public transition relation,research/candidates/deposit-batching/manifest.json,DEFERRED_STOP,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/deposit-batching/manifest.json,b3a8f6fc6eca06e480f85f53d1798981ea28c5d8647c1d772e1348a6d5958d79,research/report-synthesis/scorecards/component--deposit-batching.json
component:hash-compression-common,hash-compression-common,component,hash-compression-common,research/candidates/hash-compression-common/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/hash-compression-common/manifest.json,5e8e241cbc86e936d49a51dee6e49190a1998ac4e005db0df6b51517ef54861d,research/report-synthesis/scorecards/component--hash-compression-common.json
component:merkle-shape,merkle-shape,component,Merkle shape and state-layout spike,research/candidates/merkle-shape/manifest.json,STOP_HIGHER_ARITY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/merkle-shape/manifest.json,bea77ea351ba8e0359aeb2766332f8a38281f05b141f10c51d3c0240420769c4,research/report-synthesis/scorecards/component--merkle-shape.json
component:structured-relation,SP-21,component,Structured relation and repeated-computation decomposition,research/candidates/structured-relation/manifest.json,STOPPED_BY_DEPENDENCY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/structured-relation/manifest.json,d0829089c2943dacfe5e979bd14de900ee8c13c13e4f6a0f62328d70002d8567,research/report-synthesis/scorecards/component--structured-relation.json
component:v03-baseline,C00/v03-baseline,component,v03-baseline,research/candidates/v03-baseline/manifest.json,FAIL,false,false,FAIL,,256,256,8,9,190,,1186,7,16,210,,244,12,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/component--v03-baseline.json
component:verifier-optimization-common,SP-31/V1-V9,component,verifier-optimization-common,research/candidates/verifier-optimization-common/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/verifier-optimization-common/manifest.json,503ee32bfb8bc67e0f2469bc025301ba0ae6eaddc863fcf3425b150107a8660b,research/report-synthesis/scorecards/component--verifier-optimization-common.json
minimum:C00,C00,minimum_matrix,Appendix-A C00,,FAIL_REPRODUCED_BASELINE,false,false,FAIL,,256,256,8,9,190,,1186,7,16,210,,244,12,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/minimum--C00.json
minimum:C01,C01,minimum_matrix,Appendix-A C01,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C01.json
minimum:C10,C10,minimum_matrix,Appendix-A C10,,RESEARCH_ONLY_NO_WINNER,false,false,FAIL,,256,512,8,9,190,,1186,7,16,210,,256,256,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/minimum--C10.json
minimum:C11,C11,minimum_matrix,Appendix-A C11,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C11.json
minimum:C12,C12,minimum_matrix,Appendix-A C12,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C12.json
minimum:C20,C20,minimum_matrix,Appendix-A C20,,DEFERRED_UPSTREAM_CONTROL_NOT_INTEGRATED,false,false,FAIL,,4096,4096,,,12,,,,,,,,,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/minimum--C20.json
minimum:C21,C21,minimum_matrix,Appendix-A C21,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C21.json
minimum:C22,C22,minimum_matrix,Appendix-A C22,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C22.json
minimum:C23,C23,minimum_matrix,Appendix-A C23,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C23.json
minimum:C30,C30,minimum_matrix,Appendix-A C30,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C30.json
minimum:C40,C40,minimum_matrix,Appendix-A C40,,NOT_RUN_JUSTIFIED_GATE_FAILURE,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-1-baseline.json,a7841c1581069fc4db87ccb8f0c23a80c05943233ad10cefc285bae6ea748bbb,research/report-synthesis/scorecards/minimum--C40.json
product:aggregation,product-aggregation,product_study,aggregation,research/aggregation/status.json,STOP_BY_DEPENDENCY,false,false,FAIL,,,,,,,,,,,,,,,,research/aggregation/status.json,06a3d71a50ac22e062dc6b086111287917c7f44258da02491bf4461b45e49815,research/report-synthesis/scorecards/product--aggregation.json
product:individual-l1,product-individual-l1,product_study,individual-l1,research/reviews/checkpoint-4-product.json,NO_SECURITY_QUALIFIED_FINALIST,false,false,FAIL,,,,,,,,,,,,,,,,research/reviews/checkpoint-4-product.json,978c65c77f5ee137745aa279a2da8dfb8229b13ecd244432e80c91c738975526,research/report-synthesis/scorecards/product--individual-l1.json
product:l2,product-l2,product_study,l2,research/l2-economics/status.json,PRODUCT_GATE_NOT_EVALUATED_NOT_PASSED,false,false,FAIL,,,,,,,,,,,,,,,,research/l2-economics/status.json,37c3044ca217f3f99ec3237152ca4a48224c541d378e5bb876db230c95c764ae,research/report-synthesis/scorecards/product--l2.json
product:prover-operations,product-prover-operations,product_study,prover-operations,research/prover-operations/status.json,FAIL,false,false,FAIL,,,,,,,,,,,,,,,,research/prover-operations/status.json,e602826a700841f60abbde910f6c78f5c9ee5f7ddd3ebe35e04a2e043ed1e8b9,research/report-synthesis/scorecards/product--prover-operations.json
product:robust-two-call,product-robust-two-call,product_study,robust-two-call,research/two-call-state/status.json,FAIL_PROJECTION_FULL_PATH_NOT_EVALUATED,false,false,FAIL,,,,,,,,,,,,,,,,research/two-call-state/status.json,407538bf1572c859b15bc86a36e4782dafe7ca92ef787ec99385d742bd7e271d,research/report-synthesis/scorecards/product--robust-two-call.json
